t,edge_id,vertex1,vertex2,length,average_width,intensity,betweenness_centrality
500.0,1.0,1.0,4.0,30.0,1.411709029421967,93.80645161290325,0.0
500.0,2.0,2.0,4.0,24.0,1.401402314028925,90.36,0.0
500.0,3.0,3.0,7.0,29.0,1.1161760458079522,80.5,0.0
500.0,4.0,5.0,7.0,13.0,1.1306019374818708,86.92857142857143,0.0
500.0,5.0,6.0,11.0,17.0,1.4063171388324869,95.0,0.0
500.0,6.0,8.0,11.0,15.0,1.2544417382415922,92.25,0.0
500.0,7.0,9.0,12.0,3.0,1.4125703849682212,111.25,0.0
500.0,8.0,14.0,31.0,37.0,1.521775658271762,94.89473684210526,0.0
500.0,9.0,15.0,31.0,24.0,1.4553910524340097,89.68,0.0
500.0,10.0,16.0,22.0,14.0,2.4047378541243645,130.26666666666668,0.0
500.0,11.0,17.0,36.0,23.0,1.6452200572599402,87.91666666666667,0.0
500.0,12.0,18.0,25.0,10.0,1.0753115567951084,113.27272727272728,0.0
500.0,13.0,19.0,25.0,9.0,1.6307135789365266,107.9,0.0
500.0,14.0,20.0,61.0,28.0,1.5078593814261323,97.6206896551724,0.0
500.0,15.0,21.0,22.0,3.0,1.1035533905932735,122.75,0.0
500.0,16.0,23.0,65.0,26.0,1.498364597137619,94.96296296296296,0.0
500.0,17.0,24.0,28.0,4.0,1.365685424949238,107.4,0.0
500.0,18.0,26.0,60.0,18.0,1.511649965880966,97.47368421052632,0.0
500.0,19.0,27.0,33.0,3.0,1.6035533905932735,101.0,0.0
500.0,20.0,30.0,29.0,2.0,1.0,107.66666666666669,0.0
500.0,21.0,37.0,34.0,4.0,1.2,98.0,0.0
500.0,22.0,39.0,40.0,2.0,1.1380711874576983,99.66666666666669,0.0
500.0,23.0,44.0,56.0,8.0,1.823801506930344,97.77777777777776,0.0
500.0,24.0,45.0,41.0,4.0,1.365685424949238,96.0,0.0
500.0,25.0,46.0,41.0,4.0,1.2,109.6,0.0
500.0,26.0,49.0,36.0,9.0,1.382842712474619,94.0,0.0
500.0,27.0,52.0,56.0,14.0,1.4209138999323174,97.86666666666666,0.0
500.0,28.0,53.0,65.0,8.0,1.2952060277213755,89.66666666666667,0.0
500.0,29.0,58.0,51.0,3.0,1.25,127.5,0.0
500.0,30.0,59.0,47.0,7.0,1.125,101.0,0.0
500.0,31.0,63.0,55.0,12.0,1.7786474996055743,141.53846153846155,0.0
500.0,32.0,66.0,69.0,4.0,1.2,96.0,0.0
500.0,33.0,70.0,75.0,3.0,1.75,95.0,0.0
500.0,34.0,79.0,98.0,14.0,1.0942809041582064,86.0,0.0
500.0,35.0,80.0,102.0,11.0,1.0690355937288494,81.5,0.0
500.0,36.0,81.0,84.0,9.0,1.223606797749979,118.3,0.0
500.0,37.0,83.0,98.0,7.0,1.3321067811865477,90.75,0.0
500.0,38.0,85.0,97.0,4.0,1.282842712474619,107.8,0.0
500.0,39.0,86.0,110.0,11.0,1.2214045207910316,86.5,0.0
500.0,40.0,87.0,102.0,16.0,1.385667599182591,93.76470588235294,0.0
500.0,41.0,91.0,76.0,5.0,2.0214983674153264,134.83333333333334,0.0
500.0,42.0,93.0,78.0,5.0,1.1666666666666667,99.5,0.0
500.0,43.0,94.0,95.0,3.0,1.1035533905932735,98.5,0.0
500.0,44.0,99.0,77.0,9.0,1.1,90.8,0.0
500.0,45.0,101.0,114.0,4.0,1.082842712474619,88.4,0.0
500.0,46.0,109.0,89.0,10.0,1.25712973861329,96.8181818181818,0.0
500.0,47.0,111.0,121.0,4.0,1.082842712474619,91.6,0.0
500.0,48.0,117.0,127.0,4.0,1.3313708498984762,93.4,0.0
500.0,49.0,119.0,103.0,6.0,1.4632343838741837,130.0,0.0
500.0,50.0,122.0,107.0,4.0,1.282842712474619,139.4,0.0
500.0,51.0,125.0,140.0,9.0,1.165685424949238,81.9,0.0
500.0,52.0,126.0,120.0,5.0,2.162472810034941,125.0,0.0
500.0,53.0,129.0,135.0,5.0,1.344082517040997,102.83333333333331,0.0
500.0,54.0,132.0,123.0,5.0,2.1559441376098207,137.0,0.0
500.0,55.0,133.0,130.0,7.0,3.8560439863110223,183.0,0.0
500.0,56.0,139.0,140.0,3.0,1.1035533905932735,85.25,0.0
500.0,57.0,142.0,130.0,7.0,3.321192664290204,171.375,0.0
500.0,58.0,143.0,157.0,9.0,1.206449510224598,105.1,0.0
500.0,59.0,144.0,136.0,4.0,1.612899020449196,110.4,0.0
500.0,60.0,146.0,153.0,4.0,1.282842712474619,89.8,0.0
500.0,61.0,147.0,167.0,11.0,1.7553745918538315,95.25,0.0
500.0,62.0,149.0,163.0,9.0,1.8414213562373096,92.7,0.0
500.0,63.0,150.0,166.0,13.0,1.177520098159898,86.07142857142857,0.0
500.0,64.0,151.0,141.0,5.0,1.0,103.5,0.0
500.0,65.0,152.0,160.0,10.0,1.2038764261017532,86.18181818181819,0.0
500.0,66.0,158.0,164.0,6.0,1.0591733660532994,85.14285714285714,0.0
500.0,67.0,165.0,160.0,9.0,1.382842712474619,97.0,0.0
500.0,68.0,169.0,171.0,4.0,1.482842712474619,115.4,0.0
