t,y,x,vertex_id,is_tip,origin,vertex_connected
500,201,532,1,1,0,0
500,203,545,2,1,0,0
500,208,565,3,1,0,0
500,227,579,5,1,0,0
500,228,532,6,1,0,0
500,243,526,8,1,0,0
500,243,568,9,1,0,0
500,278,505,14,1,0,0
500,285,535,15,1,0,0
500,285,1094,16,1,0,0
500,288,557,17,1,0,0
500,294,1077,18,1,0,0
500,295,1073,19,1,0,0
500,297,1054,20,1,0,0
500,297,1081,21,1,0,0
500,301,473,23,1,0,0
500,303,1103,24,1,0,0
500,306,1064,26,1,0,0
500,307,510,27,1,0,0
500,308,1107,30,1,0,0
500,311,565,37,1,0,0
500,311,1111,39,1,0,0
500,317,465,44,1,0,0
500,317,506,45,1,0,0
500,317,514,46,1,0,0
500,319,550,49,1,0,0
500,322,455,52,1,0,0
500,322,494,53,1,0,0
500,323,1104,58,1,0,0
500,324,515,59,1,0,0
500,325,1111,63,1,0,0
500,328,530,66,1,0,0
500,332,1044,70,1,0,0
500,337,603,79,1,0,0
500,337,627,80,1,0,0
500,337,1098,81,1,0,0
500,338,588,83,1,0,0
500,340,583,85,1,0,0
500,340,614,86,1,0,0
500,340,636,87,1,0,0
500,341,1070,91,1,0,0
500,342,531,93,1,0,0
500,342,1039,94,1,0,0
500,346,515,99,1,0,0
500,348,606,101,1,0,0
500,351,484,109,1,0,0
500,351,1021,111,1,0,0
500,353,1013,117,1,0,0
500,353,1077,119,1,0,0
500,354,1071,122,1,0,0
500,355,939,125,1,0,0
500,355,1099,126,1,0,0
500,358,1028,129,1,0,0
500,359,1104,132,1,0,0
500,360,1124,133,1,2,0
500,364,933,139,1,0,0
500,365,1119,142,1,2,0
500,366,987,143,1,0,0
500,366,1025,144,1,0,0
500,368,944,146,1,0,0
500,368,969,147,1,0,0
500,369,956,149,1,0,0
500,370,925,150,1,0,0
500,370,1054,151,1,0,0
500,371,580,152,1,0,0
500,376,580,158,1,0,0
500,379,597,165,1,0,0
500,379,1021,169,1,0,0
500,380,725,170,1,0,0
500,381,1015,173,1,0,0
500,385,972,176,1,0,0
500,387,957,178,1,0,0
500,387,1027,180,1,0,0
500,389,716,181,1,0,0
500,390,384,183,1,0,0
500,390,601,184,1,0,0
500,393,1055,189,1,0,0
500,394,1000,190,1,0,0
500,394,1020,192,1,0,0
500,395,730,194,1,0,0
500,395,983,197,1,0,0
500,395,1081,199,1,0,0
500,396,702,200,1,0,0
500,396,1067,202,1,0,0
500,397,659,204,1,0,0
500,397,1002,205,1,0,0
500,397,1051,206,1,0,0
500,399,586,211,1,0,0
500,400,375,215,1,0,0
500,401,1009,220,1,0,0
500,402,384,223,1,0,0
500,404,384,224,1,0,0
500,406,1072,227,1,0,0
500,407,923,228,1,0,0
500,407,1070,230,1,0,0
500,409,609,231,1,0,0
500,410,1088,234,1,0,0
500,411,903,237,1,0,0
500,412,721,239,1,0,0
500,412,908,240,1,0,0
500,412,1050,241,1,0,0
500,413,921,244,1,0,0
500,413,971,246,1,0,0
500,414,966,252,1,0,0
500,416,469,257,1,0,0
500,416,727,259,1,0,0
500,418,1088,261,1,0,0
500,420,419,263,1,0,0
500,420,912,265,1,0,0
500,421,907,267,1,0,0
500,421,1030,269,1,0,0
500,424,377,271,1,0,0
500,424,682,272,1,0,0
500,425,350,274,1,0,0
500,425,380,275,1,0,0
500,427,383,278,1,0,0
500,427,412,279,1,0,0
500,427,422,281,1,0,0
500,427,425,282,1,0,0
500,427,765,284,1,0,0
500,427,831,285,1,0,0
500,427,927,286,1,0,0
500,428,1057,288,1,0,0
500,432,1045,300,1,0,0
500,433,347,301,1,0,0
